"MonitoringLocationTypeName","IR_FLAG","InData"
"Canal Drainage","ACCEPT",NA
"Canal Irrigation","ACCEPT",NA
"Canal Transport","ACCEPT",NA
"Lake","ACCEPT","Y"
"Lake, Reservoir, Impoundment","ACCEPT",NA
"Other-Surface Water","ACCEPT",NA
"Pond-Stormwater","REJECT",NA
"Reservoir","ACCEPT",NA
"River/Stream","ACCEPT","Y"
"River/Stream Intermittent","ACCEPT",NA
"River/Stream Perennial","ACCEPT",NA
"Seep","REJECT",NA
"Spring","ACCEPT",NA
"Stream","ACCEPT",NA
"Stream: Canal","ACCEPT",NA
"Stream: Ditch","REJECT",NA
